time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,yb_energy_kJ_mol,carbon_plane_nm,lowest_O_height_nm,highest_O_height_nm,mean_O_height_nm,waters_below_graphene
130.0,300.9528913314634,-77209.3994823969,40476.583072214285,1.160948530397222,0.4993821017417651,0.2739679812109931,2.7810986467914214,1.1769849361814788,0
132.0,302.62803959129775,-77039.92273600481,40701.88171412959,0.574598966455507,0.4992678178214277,0.2752010401984023,2.6504342011228084,1.1778007811903428,0
134.0,299.18484706618847,-76906.1869118897,40238.79040552104,0.295160944064451,0.4997381255443879,0.2525441013218207,2.674611007045515,1.1732584726645219,0
136.0,296.43326894069367,-77429.27133189433,39868.71760082546,0.16759835193414863,0.4986074020894695,0.2693676840133836,2.608872314852071,1.178948147392383,0
138.0,301.7131244373033,-77338.29056082235,40578.83043168187,0.0010696218721179282,0.4985015775845627,0.26459877177639846,2.7484364645637704,1.1771535406086469,0
140.0,303.3608221954023,-77212.70512977196,40800.437125302706,0.4289181210089743,0.5011106872527991,0.2706464956431367,2.607434726431242,1.1780380327920892,0
142.0,300.8475298455169,-76970.38931191247,40462.41250578558,0.12294225847363797,0.5000091077394156,0.27807660594076145,2.628795420853621,1.1719945172156747,0
144.0,299.63609859194736,-76498.74454935477,40299.48136545179,0.16833096409561668,0.4988370532391889,0.26119183683325986,2.6708819432815254,1.1803460179200063,0
146.0,302.1328390124549,-77602.07519007346,40635.27983740973,0.0428698704003576,0.49950114089547204,0.2643123378421631,2.598663563172454,1.1910813770226165,0
148.0,299.89218411779035,-76622.47242343961,40333.92352354012,0.08303829618976999,0.49975929655592155,0.27235822004464316,2.753567407408522,1.1775659981520883,0
150.0,298.7430930748516,-77084.23322665785,40179.37681408245,0.011260909551398433,0.5011699154934083,0.2629394333338534,2.6958829409271043,1.1837781267682124,0
152.0,301.07228454214044,-77465.6881249887,40492.64083191498,0.52743434754919,0.5020209640485486,0.26082074501465946,2.82724914751092,1.1829127176065815,0
154.0,300.3254049863424,-77121.51499430032,40392.189454785985,0.054940746191371855,0.5012812088001732,0.27255001207749086,2.7445520837328266,1.1743360304511,0
156.0,301.7758320941684,-77286.90055694396,40587.264282146425,0.3629434836469946,0.4997600999923243,0.2618836416505911,2.865842895038232,1.1869672659968857,0
158.0,301.90066272388617,-77568.74620818149,40604.05334614702,0.0799973390127337,0.5017133441731596,0.2691925106914572,2.8008734948588607,1.1908185923647496,0
160.0,301.6924464618883,-77637.5356022052,40576.04935260353,0.3777166877089301,0.5005667748004633,0.27651536562534373,2.777408247213207,1.1903837081660082,0
162.0,300.5234681363767,-76873.1561344068,40418.82790810152,1.0085392608033696,0.4997689654383055,0.2663546524754683,2.779196635032556,1.1907505626452772,0
164.0,302.315741181303,-76763.16133939661,40659.87921839164,0.040150882651335075,0.50194751451264,0.2736396255121225,2.7669543695414447,1.1951982580325111,0
166.0,300.206486253643,-76750.98569305334,40376.19550988101,0.10971400317219543,0.5027615050376331,0.2577907386244269,2.81850733430711,1.1977485683221156,0
168.0,301.99729439468837,-76978.60929782165,40617.049798293825,0.3766729269934867,0.5000145511706715,0.27577920451668847,2.851649351327041,1.194013669235418,0
170.0,302.6180612683613,-76980.64270248113,40700.539682107665,0.02345451616459633,0.4986473688405296,0.27163742903155896,2.81989049946592,1.1909648079124786,0
172.0,300.4063382064766,-76907.12561620225,40403.074547777025,0.011291417931410396,0.5008773962944002,0.2642952760258097,2.9421336963874642,1.182672893635303,0
174.0,303.71535095505146,-77002.07536809251,40848.11938124629,1.154059969195381,0.4994314474705714,0.27786188860069655,2.8032996435998774,1.1730241439185476,0
176.0,301.30229696167635,-77573.16982977989,40523.576294158906,0.12617295726741545,0.49966119196548425,0.26468411813068543,2.7348995564639678,1.176282157068659,0
178.0,298.9154498792852,-77114.2862656361,40202.55789894212,0.04826368871906426,0.49884314818627773,0.2839286134456348,2.6401386846381585,1.1841605832448263,0
180.0,299.01754516180745,-77410.90165210317,40216.289178166626,0.000531292910325157,0.497221895104451,0.2820826819281074,2.6322273851066966,1.158425915132071,0
182.0,301.97618026071655,-77232.53240100387,40614.210058180586,0.05970439897526201,0.5002750505999644,0.2797301210235147,2.683118715107507,1.1576361512244893,0
184.0,297.42096216198536,-77047.17999758897,40001.55715104412,0.01622391686358611,0.5010879146986833,0.26227111543280457,2.63368642813354,1.1676342149548744,0
