branch,target_nm,radius_nm,environment_charge_e,effective_enclosed_charge_e,water_charge_e,ion_charge_e,ligand_charge_e
probe_0p5nm,0.500000,1.810000,-1.591589608,-0.591589608,-1.734837980,0.128712871,0.014535501
probe_0p5nm,0.500000,1.830000,-0.942855178,0.057144822,-1.109489406,0.128712871,0.037921356
probe_0p5nm,0.500000,1.850000,-0.911531158,0.088468842,-1.089316871,0.108910891,0.068874822
probe_0p5nm,0.500000,1.870000,-1.512700202,-0.512700202,-1.633975307,0.069306931,0.051968174
probe_0p5nm,0.500000,1.890000,-0.938438183,0.061561817,-1.015350911,0.009900990,0.067011738
probe_0p5nm,0.500000,1.910000,-1.078940152,-0.078940152,-1.136386119,0.000000000,0.057445967
probe_0p5nm,0.500000,1.930000,-0.716756044,0.283243956,-0.759832139,-0.029702970,0.072779065
probe_0p5nm,0.500000,1.950000,-0.455329235,0.544670765,-0.484140832,-0.039603960,0.068415557
probe_0p5nm,0.500000,1.970000,-1.313276947,-0.313276947,-1.344835644,-0.049504950,0.081063647
probe_0p5nm,0.500000,1.990000,-1.310652511,-0.310652511,-1.317938931,-0.029702970,0.036989390
probe_0p5nm,0.500000,2.010000,-0.794616073,0.205383927,-0.827073921,0.000000000,0.032457848
probe_0p5nm,0.500000,2.030000,-1.040896557,-0.040896557,-1.048971802,-0.009900990,0.017976236
probe_0p5nm,0.500000,2.050000,-0.849144229,0.150855771,-0.820349743,-0.029702970,0.000908484
probe_0p5nm,0.500000,2.070000,-0.428622540,0.571377460,-0.410174871,-0.019801980,0.001354312
probe_0p5nm,0.500000,2.090000,-1.092762062,-0.092762062,-1.035523446,-0.039603960,-0.017634656
probe_0p5nm,0.500000,2.110000,-1.101171564,-0.101171564,-1.015350911,-0.069306931,-0.016513723
probe_0p5nm,0.500000,2.130000,-1.085095909,-0.085095909,-1.001902554,-0.039603960,-0.043589395
probe_0p5nm,0.500000,2.150000,-0.764343310,0.235656690,-0.652245287,-0.059405941,-0.052692082
