time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,ligand_z_min_nm,ligand_z_max_nm,pyrene_z_mean_nm,pyrene_height_above_graphene_nm,pyrene_tilt_from_graphene_plane_deg,pyrene_plane_rms_nm,water_z_min_nm,water_z_max_nm,water_below_graphene
230.00000000004775,299.7992763443699,-307638.6392854047,59906.335132663546,-247732.30415274116,0.4574677645047134,0.5443032427175156,0.5014464361092501,0.7246490459778272,1.773399604219568,0.8283690477236514,0.3269226116144013,5.001610224840587,0.0027682404631331724,0.7518971897348461,6.6771184742192276,0
231.00000000005252,300.32626222213804,-308148.54724418884,60011.63823075207,-248136.90901343676,0.45880543816731856,0.5423604871740437,0.5004728419206967,0.7363808868137411,1.763367801016619,0.8261917315984755,0.32571888967777873,3.8936796998533354,0.005637870042471071,0.7666873965064505,6.688431852191165,0
232.0000000000573,302.0577430196893,-308108.02974322625,60357.62528648709,-247750.40445673914,0.46018069709646925,0.5434840202428397,0.500209515488547,0.7879669727056156,1.7890160120518728,0.8272753328116769,0.3270658173231299,3.9037466422020457,0.004514193083932506,0.7718712993187058,6.67622083796433,0
233.00000000006207,297.9141690840229,-307689.7887668181,59529.65020974983,-248160.1385570683,0.4623081727863374,0.5406159952748926,0.49806050436883526,0.7402922346110508,1.735243423903917,0.8418816381842773,0.34382113381544205,5.935420643804655,0.006680296818080108,0.7656080572531785,6.67558422657379,0
234.00000000006685,301.81153643627243,-308545.78119910974,60308.42792257785,-248237.35327653188,0.46057449116123816,0.5444412677394226,0.5027793574496021,0.7440871050659057,1.802507033829425,0.8129635908025612,0.3101842333529591,2.067421255360851,0.0037157664450843267,0.7777252233821232,6.71580973899556,0
235.00000000007162,297.61625681121626,-308889.807867717,59470.12093845704,-249419.68692925997,0.4582480372051956,0.5389890501494836,0.4989621014650333,0.775998938054772,1.7748538464924142,0.8246601993163378,0.32569809785130455,4.081219999474201,0.00583845493176261,0.7711390553344462,6.666995184097331,0
236.0000000000764,296.65543429513275,-307414.680724103,59278.12796117783,-248136.55276292516,0.4637672380767981,0.5338190750005545,0.49997144171603286,0.7535710006599583,1.7732423467731468,0.8421027851372934,0.34213134342126056,6.2039429914967625,0.006384969640976697,0.768717772523873,6.594997807243622,0
237.00000000008117,297.94622510018775,-308001.5543788783,59536.05569034607,-248465.49868853227,0.4584827761752912,0.5426036190410262,0.5007767585455202,0.75156167887992,1.7598093221742452,0.8238700300680137,0.32309327152249356,6.546041375463831,0.005529131231883771,0.762612668060008,6.642360703725739,0
238.00000000008595,298.34568948207925,-307894.0924286973,59615.87725438369,-248278.21517431358,0.45175467144934345,0.5437391450332067,0.5001434065812285,0.7404444892694118,1.6624194459099817,0.8311795543557178,0.3310361477744893,7.07762970177335,0.006999485366671225,0.7631477991151083,6.554806601037406,0
239.00000000009072,297.9421729426557,-307450.39872799115,59535.24598223041,-247915.15274576074,0.4564869560784519,0.5470665771237009,0.5002903412731909,0.7164927877675069,1.5931144330753888,0.8257839518784066,0.32549361060521564,3.831771890565011,0.008339429869324047,0.7648655397445498,6.75724905982824,0
240.0000000000955,298.991033489411,-306490.92759601446,59744.83084910373,-246746.0967469107,0.462075915556456,0.5414083644598451,0.4993410808747125,0.7691080083539426,1.538459575487117,0.8243352394764081,0.32499415860169556,1.3092233036293655,0.006470760854494268,0.7695514219649482,6.767530471878793,0
