lag_frames,lag_ps,lag_ns,n_time_origins,msd_nm2,sd_squared_displacement_nm2,descriptive_sem_nm2
36,72.0,0.072,2464,0.19214310591033112,0.1832384136352587,0.0036914430399718205
37,74.0,0.074,2463,0.19765562162927183,0.18897898275202918,0.003807862878356054
38,76.0,0.076,2462,0.2031770758521929,0.19502257033877157,0.0039304371108088215
39,78.0,0.078,2461,0.20857991287879343,0.20118002448831138,0.0040553566069728856
40,80.0,0.08,2460,0.21392395818475074,0.20697547481937292,0.004173028339106472
41,82.0,0.082,2459,0.21964483646386787,0.21353476697093265,0.004306151756087336
42,84.0,0.084,2458,0.2255643049410078,0.22013130646921222,0.004440080783825991
43,86.0,0.086,2457,0.2313567513249229,0.2278579448592592,0.004596863392205116
44,88.0,0.088,2456,0.23719864008310904,0.2353667971889148,0.004749315449514107
45,90.0,0.09,2455,0.24277642766307508,0.24256017926650436,0.004895462821696694
46,92.0,0.092,2454,0.24867791066334222,0.25015245293586724,0.0050497221961495024
47,94.0,0.094,2453,0.25475600307635776,0.25790403231250697,0.005207261146103797
48,96.0,0.096,2452,0.2607032374114939,0.26656232972827465,0.005383175546854913
49,98.0,0.098,2451,0.26657770769342687,0.27435920174631184,0.005541762058840007
50,100.0,0.1,2450,0.2721222331177181,0.2808882870026655,0.005674800357013084
51,102.0,0.102,2449,0.27826601106423765,0.2888278424330779,0.0058363948219757765
52,104.0,0.104,2448,0.28408717519126575,0.296077897079905,0.005984119818976486
53,106.0,0.106,2447,0.2897478228218291,0.30330534598285114,0.006131448438312644
54,108.0,0.108,2446,0.29541747072378943,0.3100989856951884,0.006270066101427096
55,110.0,0.11,2445,0.30120231027475874,0.31709994922436546,0.006412933563575757
56,112.0,0.112,2444,0.30727655395312486,0.32341918548595294,0.006542069871838615
57,114.0,0.114,2443,0.3128285691066339,0.3294656950483183,0.006665741503287522
58,116.0,0.116,2442,0.31827324589458167,0.3356943011831908,0.006793148974677841
59,118.0,0.118,2441,0.32360892435572103,0.3413976552899163,0.006909977676826835
60,120.0,0.12,2440,0.32918792830250476,0.3476083799998381,0.0070371259573926755
61,122.0,0.122,2439,0.3349266359917499,0.35378566102409026,0.007163649467743414
62,124.0,0.124,2438,0.3406060015687379,0.35945159399184445,0.007279868980987476
63,126.0,0.126,2437,0.34644532509438297,0.3649349171751674,0.007392437378525649
64,128.0,0.128,2436,0.3524407713889021,0.3694164439533911,0.0074847548687081685
65,130.0,0.13,2435,0.35864595435277585,0.3744514120391236,0.007588326168278353
66,132.0,0.132,2434,0.36449002738260455,0.3794802862934966,0.007691816813051115
67,134.0,0.134,2433,0.3703068335008126,0.38479874713439893,0.007801221246522761
68,136.0,0.136,2432,0.3763317518992198,0.3903559703239456,0.007915512531603528
69,138.0,0.138,2431,0.38220922694734916,0.39546029763965596,0.00802066559055585
70,140.0,0.14,2430,0.38822521564513157,0.40019582523002534,0.008118380773995553
71,142.0,0.142,2429,0.394574012777049,0.40616820736986325,0.008241232542758131
72,144.0,0.144,2428,0.4009975992528024,0.41202970365357977,0.008361884889276226
73,146.0,0.146,2427,0.40754904494806354,0.41822533286763447,0.008489369708274914
74,148.0,0.148,2426,0.4136197799445933,0.4237863232172355,0.0086040225198836
75,150.0,0.15,2425,0.41967863537046174,0.42860560197727177,0.008703661086448183
76,152.0,0.152,2424,0.42552145129313146,0.43354573164659543,0.008805795735951936
77,154.0,0.154,2423,0.43139892581061606,0.43859861275201134,0.00891026348317809
