stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
pull,390.000,390.000,1.231515,1.124671,1.086862,2.853939,301.050
pull,400.000,400.000,1.210468,1.170466,1.138529,0.400040,299.870
pull,410.000,410.000,1.189421,1.084439,1.047565,2.755344,298.132
pull,420.000,420.000,1.168375,1.271993,1.228630,2.684192,301.683
pull,430.000,430.000,1.147328,1.163155,1.124685,0.062624,300.892
pull,440.000,440.000,1.126281,1.085129,1.042398,0.423372,299.954
pull,450.000,450.000,1.105234,1.061664,1.012085,0.474582,300.633
pull,460.000,460.000,1.084187,1.009760,0.974189,1.384840,300.566
pull,470.000,470.000,1.063140,1.113089,1.063542,0.623724,299.956
pull,480.000,480.000,1.042094,0.999723,0.952781,0.448821,300.484
pull,490.000,490.000,1.021047,1.099462,1.059148,1.537239,299.198
pull,500.000,500.000,1.000000,1.011450,0.970350,0.032777,301.179
settle,10.000,510.000,1.000000,1.063868,1.020345,1.019763,298.353
settle,20.000,520.000,1.000000,1.053029,1.011518,0.703020,299.227
settle,30.000,530.000,1.000000,0.985544,0.947729,0.052246,300.435
settle,40.000,540.000,1.000000,1.115105,1.069922,3.312285,299.196
settle,50.000,550.000,1.000000,1.042344,1.003415,0.448248,299.916
settle,60.000,560.000,1.000000,1.037460,1.001288,0.350808,300.904
settle,70.000,570.000,1.000000,0.989710,0.944777,0.026470,300.025
settle,80.000,580.000,1.000000,0.971214,0.938872,0.207166,300.196
settle,90.000,590.000,1.000000,0.839751,0.798145,6.419926,299.027
settle,100.000,600.000,1.000000,0.982176,0.943635,0.079427,298.506
settle,110.000,610.000,1.000000,0.974119,0.934510,0.167454,299.001
settle,120.000,620.000,1.000000,0.901137,0.856084,2.443497,300.505
settle,130.000,630.000,1.000000,0.961741,0.918019,0.365941,299.298
settle,140.000,640.000,1.000000,0.924586,0.878217,1.421836,299.993
settle,150.000,650.000,1.000000,0.790462,0.751292,10.976535,299.188
settle,160.000,660.000,1.000000,1.045676,1.000883,0.521563,299.738
settle,170.000,670.000,1.000000,0.962981,0.923437,0.342597,299.420
settle,180.000,680.000,1.000000,1.039345,1.001174,0.387015,299.108
settle,190.000,690.000,1.000000,1.050162,1.011101,0.629056,300.094
settle,200.000,700.000,1.000000,0.975315,0.935991,0.152338,300.396
settle,210.000,710.000,1.000000,1.174981,1.131803,7.654577,299.409
settle,220.000,720.000,1.000000,0.936438,0.900098,1.010026,300.246
settle,230.000,730.000,1.000000,1.023505,0.987616,0.138121,300.786
settle,240.000,740.000,1.000000,0.968936,0.925638,0.241237,298.572
settle,250.000,750.000,1.000000,1.016839,0.966350,0.070889,298.961
settle,260.000,760.000,1.000000,0.900764,0.854984,2.461935,301.114
settle,270.000,770.000,1.000000,0.943252,0.907476,0.805075,300.554
settle,280.000,780.000,1.000000,0.825372,0.778789,7.623762,301.323
settle,290.000,790.000,1.000000,0.899837,0.860024,2.508165,298.742
settle,300.000,800.000,1.000000,0.935478,0.899059,1.040767,300.451
settle,310.000,810.000,1.000000,0.943908,0.900117,0.786570,300.057
settle,320.000,820.000,1.000000,1.167335,1.132589,7.000263,300.282
settle,330.000,830.000,1.000000,0.999734,0.959183,0.000018,302.143
settle,340.000,840.000,1.000000,1.006348,0.960114,0.010075,298.506
settle,350.000,850.000,1.000000,1.149091,1.115608,5.557050,301.619
settle,360.000,860.000,1.000000,1.018818,0.979432,0.088531,300.664
settle,370.000,870.000,1.000000,0.962707,0.925056,0.347687,300.291
settle,380.000,880.000,1.000000,0.866656,0.825685,4.445163,299.058
settle,390.000,890.000,1.000000,1.005265,0.963332,0.006929,299.611
settle,400.000,900.000,1.000000,1.027653,0.981577,0.191178,301.652
settle,410.000,910.000,1.000000,0.973107,0.930217,0.180802,300.315
settle,420.000,920.000,1.000000,0.988126,0.950607,0.035247,298.873
settle,430.000,930.000,1.000000,0.849918,0.806810,5.631151,300.317
settle,440.000,940.000,1.000000,0.951911,0.909362,0.578130,299.270
settle,450.000,950.000,1.000000,0.997942,0.959135,0.001059,299.435
settle,460.000,960.000,1.000000,0.956141,0.908235,0.480908,300.228
settle,470.000,970.000,1.000000,1.027613,0.970513,0.190622,299.578
settle,480.000,980.000,1.000000,1.040834,1.002076,0.416853,299.050
settle,490.000,990.000,1.000000,1.048727,1.007940,0.593587,301.299
settle,500.000,1000.000,1.000000,0.898904,0.848095,2.555084,299.646
production,1.000,1001.000,1.000000,0.988136,0.947347,0.035190,298.644
production,100.000,1100.000,1.000000,0.960664,0.912284,0.386835,300.020
production,200.000,1200.000,1.000000,0.855444,0.809081,5.224108,299.725
production,300.000,1300.000,1.000000,1.033053,0.996649,0.273120,301.204
production,400.000,1400.000,1.000000,1.130873,1.083287,4.281918,299.731
production,500.000,1500.000,1.000000,1.012666,0.963502,0.040105,301.453
production,600.000,1600.000,1.000000,1.045733,1.006372,0.522879,301.895
production,700.000,1700.000,1.000000,0.961766,0.922381,0.365460,299.855
production,800.000,1800.000,1.000000,1.010750,0.975589,0.028891,300.358
production,900.000,1900.000,1.000000,0.817134,0.776055,8.359981,300.717
production,1000.000,2000.000,1.000000,1.159668,1.122739,6.373446,298.983
