time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,pyrene_height_above_graphene_nm,ligand_z_min_nm,ligand_z_max_nm,water_z_min_nm,water_z_max_nm,water_below_graphene,water_above_upper_wall,water_below_lower_wall,upper_wall_violation_nm,lower_wall_violation_nm
122.0000000000573,302.5958380734243,-307453.1405954538,60465.148236560024,-246987.99235889377,0.4651834306180511,0.5511061189963602,0.5027085014508536,0.3290489092091414,0.7504677912964199,1.7629161323415836,0.7729455787135917,6.605197397441557,0,0,0,0.0,0.0
123.00000000006207,303.35735143857056,-307094.97044871096,60617.31496430106,-246477.6554844099,0.44190728694217873,0.5356046717983709,0.4964018777407936,0.31378757674777347,0.7223660144138542,1.7082450662620339,0.7564051426051606,6.7003447887034895,0,0,0,0.0,0.0
124.00000000006685,302.7033241130418,-307594.95570456097,60486.62625608669,-247108.32944847428,0.4588041463986814,0.5399667549534084,0.4994247848897568,0.3342226130091745,0.746717582536224,1.7907691707789795,0.7595106616998635,6.67800532157262,0,0,0,0.0,0.0
125.00000000007162,300.53604041796115,-307812.5470760539,60053.556420334586,-247758.99065571933,0.4600204777132699,0.5383528917800042,0.4976380704105344,0.3340313822938762,0.7186517758974205,1.7660479312215944,0.7733580317746931,6.692686030270181,0,0,0,0.0,0.0
126.0000000000764,297.81450480458943,-307660.39471079875,59509.73514592013,-248150.65956487862,0.4524474056642829,0.545835488409169,0.5022540023119384,0.3174060837002861,0.7665827030466268,1.741623760782724,0.7675580405213038,6.703867774981987,0,0,0,0.0,0.0
127.00000000008117,298.39294717477554,-308539.6748156026,59625.32035648447,-248914.35445911813,0.4606752045354492,0.5362873069858164,0.49897959267701864,0.3487619225221451,0.7601979045293525,1.7485353154901233,0.7619739579519322,6.655545801596858,0,0,0,0.0,0.0
128.00000000008595,300.0584087215652,-309301.52019002056,59958.11534781707,-249343.40484220348,0.4540852738740968,0.542257656430003,0.4985640610057537,0.3532852287569369,0.7298443084523498,1.750461358624797,0.7735314361978776,6.602286577831862,0,0,0,0.0,0.0
129.00000000009072,300.3301919734192,-308534.54953189986,60012.42347946949,-248522.12605243037,0.4617958413596739,0.5523087576559345,0.49983045548455846,0.34608163242084394,0.7330806535168186,1.7436792106684678,0.7794031596859838,6.575158438289819,0,0,0,0.0,0.0
130.0000000000955,300.50995212374903,-308232.3144407165,60048.34341877178,-248183.97102194474,0.4475507328735375,0.5333887546663085,0.4979688785487957,0.3266537321047692,0.7390991085771859,1.7505321440069634,0.7572651168475737,6.64749525135851,0,0,0,0.0,0.0
131.00000000010027,298.7571460711579,-308494.0997702908,59698.09511901113,-248796.00465127965,0.45926053215352525,0.5417351593034772,0.5002021126845917,0.33313845545643483,0.7710456385349183,1.78247723484313,0.7772899234975781,6.706579243586745,0,0,0,0.0,0.0
132.00000000010505,299.23648510563817,-308569.2452010191,59793.87735435169,-248775.36784666742,0.461366869476596,0.5418512757273812,0.4998832171448784,0.3384811005232793,0.7223481834712118,1.7183047465224504,0.7701736777618837,6.675858705239989,0,0,0,0.0,0.0
