distance_A,delta_LJ_kJmol,delta_Coulomb_kJmol,delta_total_kJmol
5.29999999999999,-24.83875282432912,-0.034875994774583585,-24.873628819103704
5.34999999999999,-23.954316460239852,-0.03478855478383336,-23.989105015023686
5.39999999999999,-23.1074095337729,-0.03462622163951812,-23.142035755412415
5.4499999999999895,-22.29629146620939,-0.03436544292577315,-22.33065690913516
5.499999999999989,-21.51925620100476,-0.03423598717945131,-21.55349218818421
5.549999999999989,-20.774726338052126,-0.03410501960588297,-20.808831357658008
5.599999999999989,-20.06114922863689,-0.033948914043406386,-20.095098142680296
5.649999999999989,-19.377101176524313,-0.033738904637656386,-19.410840081161968
5.699999999999989,-18.721171242338087,-0.03350772106047861,-18.754678963398565
5.7499999999999885,-18.092073376047512,-0.03338566422678246,-18.125459040274293
5.799999999999988,-17.488536640113647,-0.0330955480701447,-17.52163218818379
5.849999999999988,-16.909393870613886,-0.033046195064533546,-16.94244006567842
5.899999999999988,-16.35349923820607,-0.03286380012268664,-16.386363038328756
5.949999999999988,-15.819796559005411,-0.032636229937407446,-15.852432788942819
5.999999999999988,-15.307257958641705,-0.03243764387681969,-15.339695602518525
6.049999999999987,-14.814921458072403,-0.0323406289552195,-14.847262087027623
6.099999999999987,-14.34186482436965,-0.03212193545004949,-14.373986759819699
6.149999999999987,-13.887217378545055,-0.0319539547389307,-13.919171333283986
6.199999999999987,-13.450146400663218,-0.03173878481241621,-13.481885185475635
6.249999999999987,-13.029866184559722,-0.031522114439379134,-13.061388298999102
6.2999999999999865,-12.625626973579346,-0.0313982516441782,-12.657025225223524
6.349999999999986,-12.23671461882701,-0.031211610485470498,-12.267926229312481
6.399999999999986,-11.862455662900512,-0.031017212004365913,-11.893472874904878
6.449999999999986,-11.502203735744311,-0.0309408807816296,-11.533144616525941
6.499999999999986,-11.155348457657313,-0.03063304492371044,-11.185981502581024
6.549999999999986,-10.821304851144978,-0.030467328379305325,-10.851772179524284
6.599999999999985,-10.499524153242243,-0.030305962511492535,-10.529830115753736
6.649999999999985,-10.189472475083464,-0.03010727057029383,-10.219579745653759
6.699999999999985,-9.890657223959217,-0.029890905062945006,-9.920548129022162
6.749999999999985,-9.602592317890009,-0.029713912975171564,-9.632306230865181
6.799999999999985,-9.324832548498089,-0.02961299559118613,-9.354445544089275
6.8499999999999845,-9.05693559182901,-0.029384791347630834,-9.086320383176641
6.899999999999984,-8.798500018964553,-0.029281700597820315,-8.827781719562374
6.949999999999984,-8.549121858501543,-0.02897434093917317,-8.578096199440717
6.999999999999984,-8.308437701501608,-0.028820857850419213,-8.337258559352028
7.049999999999984,-8.076082241752223,-0.02863169352710271,-8.104713935279326
7.099999999999984,-7.851723123041158,-0.02838047247326747,-7.880103595514425
7.1499999999999835,-7.635029307840523,-0.028214125952753744,-7.663243433793276
7.199999999999983,-7.425697761195381,-0.028072760212370707,-7.453770521407751
7.249999999999983,-7.223429171474439,-0.027911246634658493,-7.251340418109098
7.299999999999983,-7.027944613523082,-0.027731306861299654,-7.055675920384381
7.349999999999983,-6.838974299336557,-0.027528305862872582,-6.866502605199429
7.399999999999983,-6.656262461274198,-0.02732086850726345,-6.683583329781461
7.449999999999982,-6.479562577297855,-0.0270333517286665,-6.506595929026522
7.499999999999982,-6.308642638824478,-0.02691443441082475,-6.335557073235302
7.549999999999982,-6.143278036232129,-0.026672292992109714,-6.169950329224239
7.599999999999982,-5.983254844973789,-0.02655347854575174,-6.009808323519541
7.649999999999982,-5.828369941170718,-0.026302789218149325,-5.854672730388867
7.6999999999999815,-5.678427009242354,-0.026149583786947428,-5.7045765930293015
7.749999999999981,-5.5332400481631625,-0.02606455173740896,-5.559304599900571
7.799999999999981,-5.392629255528212,-0.025809829264886286,-5.418439084793098
7.849999999999981,-5.256425299507842,-0.025534475145911895,-5.281959774653753
7.899999999999981,-5.124461939468095,-0.025376142434113458,-5.1498380819022085
7.949999999999981,-4.996586336661296,-0.025222940652989134,-5.021809277314285
7.9999999999999805,-4.872644335569904,-0.0249749561214041,-4.897619291691308
