branch,target_nm,radius_nm,delta_environment_charge_e,delta_water_charge_e,delta_ion_charge_e,delta_ligand_charge_e
probe_0p5nm,0.5,1.83,0.27586589100000014,-0.880867347,1.118811881,0.037921356
probe_0p5nm,0.5,1.85,1.1757205650000002,0.06724178199999997,1.03960396,0.068874822
probe_0p5nm,0.5,1.87,-0.48601586499999994,-1.438974139,0.9009900989999999,0.051968174
probe_0p5nm,0.5,1.89,1.8807954799999997,1.001902554,0.811881188,0.067011738
probe_0p5nm,0.5,1.91,0.251073313,-0.598451862,0.792079208,0.057445967
probe_0p5nm,0.5,1.93,-0.364554678,-1.17000701,0.732673268,0.072779065
probe_0p5nm,0.5,1.95,-0.563178245,-1.324663109,0.693069307,0.068415557
probe_0p5nm,0.5,1.97,-0.9026231250000001,-1.627251129,0.643564357,0.081063647
probe_0p5nm,0.5,1.99,-0.7806580750000001,-1.391904891,0.574257426,0.03698939
probe_0p5nm,0.5,2.01,0.2064413919999999,-0.410174871,0.584158416,0.032457848
probe_0p5nm,0.5,2.03,-0.059641071999999906,-0.632072752,0.554455446,0.017976236
probe_0p5nm,0.5,2.05,0.5374147220000001,0.10086267300000007,0.435643565,0.000908484
probe_0p5nm,0.5,2.07,0.9971698160000001,0.49086501,0.504950495,0.001354312
probe_0p5nm,0.5,2.09,0.27960742299999986,-0.168104456,0.465346535,-0.017634656
probe_0p5nm,0.5,2.11,0.3858795050000001,-0.013448357000000133,0.415841584,-0.016513723
probe_0p5nm,0.5,2.13,-0.04930588899999999,-0.49086500899999996,0.485148515,-0.043589395
probe_0p5nm,0.5,2.15,-0.326264043,-0.699314535,0.425742574,-0.052692082
probe_0p5nm,0.5,2.17,-1.050474518,-1.365008178,0.34653465299999997,-0.032000993
probe_0p5nm,0.5,2.19,-0.08132130199999987,-0.383278158,0.336633664,-0.034676806
probe_0p5nm,0.5,2.21,-0.03912677000000009,-0.30931219800000004,0.297029703,-0.026844275
probe_0p5nm,0.5,2.23,-1.143051121,-1.412077426,0.287128713,-0.018102408
probe_0p5nm,0.5,2.25,-1.195787246,-1.479319208,0.316831683,-0.03329972
probe_0p5nm,0.5,2.27,1.1165011329999999,0.7800046740000001,0.37623762399999994,-0.039741163
probe_0p5nm,0.5,2.29,0.652590614,0.26224295099999995,0.435643565,-0.045295902
probe_0p5nm,0.5,2.31,-0.11014491699999995,-0.6119002170000001,0.504950495,-0.003195194
probe_0p5nm,0.5,2.33,-1.714467701,-2.171909564,0.465346535,-0.007904671
probe_0p5nm,0.5,2.35,-1.2387985860000001,-1.795355584,0.554455446,0.002101552
probe_0p5nm,0.5,2.37,1.303611521,0.618624396,0.683168317,0.001818808
probe_0p5nm,0.5,2.39,2.031529034,1.311214753,0.722772278,-0.002457995
probe_0p5nm,0.5,2.41,0.24080342200000004,-0.5850035050000001,0.861386139,-0.035579212
probe_0p5nm,0.5,2.43,-0.6656772550000003,-1.438974139,0.8217821780000001,-0.048485294
probe_0p5nm,0.5,2.45,0.6266624080000001,-0.14120774299999983,0.8316831680000001,-0.063813017
probe_0p5nm,0.5,2.47,-1.458203691,-2.346738198,0.920792079,-0.032257571
probe_0p5nm,0.5,2.49,-0.13117328500000003,-1.109489406,1.01980198,-0.04148586
probe_1p0nm,1.0,0.01,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.03,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.05,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.07,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.09,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.11,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.13,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.15,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.17,0.0,0.0,0.0,0.0
