stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
pull,380.000,380.000,2.772562,2.818642,2.778442,0.530850,300.396
pull,390.000,390.000,2.791515,2.592394,2.554370,9.912293,300.758
pull,400.000,400.000,2.810468,2.845440,2.802918,0.305755,300.736
pull,410.000,410.000,2.829421,2.870431,2.825466,0.420443,300.397
pull,420.000,420.000,2.848375,2.875953,2.844432,0.190138,299.675
pull,430.000,430.000,2.867328,2.877824,2.821116,0.027545,300.471
pull,440.000,440.000,2.886281,2.934494,2.894907,0.581135,300.615
pull,450.000,450.000,2.905234,2.927259,2.886905,0.121279,300.650
pull,460.000,460.000,2.924187,2.991749,2.953101,1.141135,300.894
pull,470.000,470.000,2.943140,2.886201,2.843225,0.810509,301.246
pull,480.000,480.000,2.962094,2.887132,2.841189,1.404804,300.481
pull,490.000,490.000,2.981047,2.991286,2.949609,0.026210,300.732
pull,500.000,500.000,3.000000,2.957850,2.909572,0.444156,301.552
settle,10.000,510.000,3.000000,2.904360,2.870215,2.286761,299.325
settle,20.000,520.000,3.000000,3.124298,3.083820,3.862534,300.903
settle,30.000,530.000,3.000000,3.052801,3.007357,0.697002,300.501
settle,40.000,540.000,3.000000,3.018882,2.975209,0.089133,302.982
settle,50.000,550.000,3.000000,2.993286,2.943645,0.011271,300.263
settle,60.000,560.000,3.000000,2.990312,2.944375,0.023464,300.093
settle,70.000,570.000,3.000000,3.014659,2.977575,0.053725,300.959
settle,80.000,580.000,3.000000,2.931000,2.896177,1.190258,299.800
settle,90.000,590.000,3.000000,2.964894,2.925105,0.308103,300.054
settle,100.000,600.000,3.000000,3.043653,3.009888,0.476386,301.091
settle,110.000,610.000,3.000000,2.962583,2.925653,0.350002,298.897
settle,120.000,620.000,3.000000,2.913951,2.855735,1.851091,299.915
settle,130.000,630.000,3.000000,2.901033,2.859482,2.448632,299.306
settle,140.000,640.000,3.000000,2.994732,2.955549,0.006938,300.242
settle,150.000,650.000,3.000000,2.990302,2.941312,0.023511,300.704
settle,160.000,660.000,3.000000,2.934274,2.894346,1.079978,298.013
settle,170.000,670.000,3.000000,2.975736,2.930660,0.147192,299.696
settle,180.000,680.000,3.000000,2.927897,2.887035,1.299720,299.643
settle,190.000,690.000,3.000000,2.954862,2.916363,0.509346,301.399
settle,200.000,700.000,3.000000,2.952072,2.912819,0.574276,299.912
settle,210.000,710.000,3.000000,3.014779,2.967921,0.054604,300.489
settle,220.000,720.000,3.000000,2.948093,2.905771,0.673573,299.554
settle,230.000,730.000,3.000000,2.948652,2.901253,0.659160,298.455
settle,240.000,740.000,3.000000,2.922151,2.886819,1.515113,300.387
settle,250.000,750.000,3.000000,2.934887,2.897723,1.059912,299.294
settle,260.000,760.000,3.000000,2.982151,2.935924,0.079642,299.473
settle,270.000,770.000,3.000000,2.936373,2.894899,1.012091,300.654
settle,280.000,780.000,3.000000,3.049982,2.999111,0.624540,299.672
settle,290.000,790.000,3.000000,2.955363,2.914081,0.498104,299.291
settle,300.000,800.000,3.000000,2.923347,2.882245,1.468921,300.440
settle,310.000,810.000,3.000000,2.973063,2.931702,0.181397,299.612
settle,320.000,820.000,3.000000,2.991708,2.955708,0.017189,298.884
settle,330.000,830.000,3.000000,2.877020,2.839802,3.781027,301.073
settle,340.000,840.000,3.000000,2.972498,2.934061,0.189084,299.581
settle,350.000,850.000,3.000000,3.047373,3.000268,0.561040,300.558
settle,360.000,860.000,3.000000,3.025124,2.984667,0.157808,301.195
settle,370.000,870.000,3.000000,3.066095,3.028346,1.092133,300.949
settle,380.000,880.000,3.000000,3.026872,2.982329,0.180531,301.239
settle,390.000,890.000,3.000000,3.101204,3.059237,2.560582,300.862
settle,400.000,900.000,3.000000,2.983736,2.940983,0.066129,299.063
settle,410.000,910.000,3.000000,3.021830,2.982650,0.119136,299.687
settle,420.000,920.000,3.000000,2.989822,2.954337,0.025898,299.443
settle,430.000,930.000,3.000000,3.008052,2.965876,0.016209,300.447
settle,440.000,940.000,3.000000,3.036668,2.989553,0.336128,300.092
settle,450.000,950.000,3.000000,3.008945,2.972534,0.020002,299.608
settle,460.000,960.000,3.000000,3.011234,2.973992,0.031552,299.893
settle,470.000,970.000,3.000000,2.988918,2.939726,0.030701,301.106
settle,480.000,980.000,3.000000,3.046356,3.006353,0.537213,300.026
settle,490.000,990.000,3.000000,3.098808,3.057134,2.440758,300.047
settle,500.000,1000.000,3.000000,3.119154,3.083341,3.549417,300.547
production,1.000,1001.000,3.000000,3.136891,3.097937,4.684795,299.035
production,100.000,1100.000,3.000000,3.067921,3.029238,1.153321,300.410
production,200.000,1200.000,3.000000,3.059300,3.014287,0.879121,299.068
production,300.000,1300.000,3.000000,3.045684,3.009560,0.521759,299.769
production,400.000,1400.000,3.000000,3.075707,3.030471,1.432904,300.047
production,500.000,1500.000,3.000000,3.067175,3.019854,1.128133,300.100
production,600.000,1600.000,3.000000,3.102418,3.054963,2.622347,299.657
production,700.000,1700.000,3.000000,3.035716,2.986995,0.318905,300.698
production,800.000,1800.000,3.000000,2.872957,2.840559,4.034997,300.025
production,900.000,1900.000,3.000000,2.968213,2.922243,0.252602,302.070
production,1000.000,2000.000,3.000000,2.962575,2.923636,0.350149,301.974
