z_nm,rho_mean_e_per_nm3,rho_2ns_block_sd_e_per_nm3,phi_mean_mV_relative_to_bulk,phi_2ns_block_sd_mV,E_mean_V_per_m,exponential_fit_mV
1.185000000000000142e+01,9.088482374797161867e-02,1.545327828381404256e-01,-2.264744914453442703e+01,2.712986556227611459e+02,-1.105366545083528161e+08,-7.883473287096776971e+01
1.194999999999999929e+01,-5.541479049451662753e-02,7.062348639724849719e-02,-1.319837068935031432e+01,2.670588463831787180e+02,-7.844491459532898664e+07,-7.896326235710316155e+01
1.205000000000000071e+01,9.084719810276438434e-02,7.176233239335946812e-02,-6.956764123286385271e+00,2.683981654645130561e+02,-4.638721672594864666e+07,-7.908924678889385973e+01
1.215000000000000213e+01,-5.148289602805303927e-02,1.501175255433242206e-01,-4.098797680060107140e+00,2.758918345154307303e+02,-1.077211213857723773e+07,-7.921273656179239708e+01
1.225000000000000000e+01,5.826231994907212636e-02,2.034440922498496063e-01,-3.328272828291289898e+00,2.787881739325807757e+02,-4.638384896799564362e+06,-7.933378107335451546e+01
1.235000000000000142e+01,2.845486026760651183e-02,1.559176293804653279e-01,-6.787330567124660874e+00,2.728079965681870931e+02,7.381953967346835136e+07,-7.945242874299874813e+01
1.244999999999999929e+01,-1.291260208481885829e-01,1.613306389586730283e-01,-9.615140647702524745e+00,2.584809193986067157e+02,-1.726333806191144884e+07,-7.956872703137497638e+01
1.255000000000000071e+01,1.585329531406943215e-01,3.380139365942712026e-01,-9.219112364525051007e+00,2.478155370565269209e+02,9.342772398362010717e+06,-7.968272245934919340e+01
1.265000000000000213e+01,-8.548492188458918506e-02,1.038308802817707183e-01,-1.345792332650119860e+01,2.581872934217100237e+02,7.543344684116140008e+07,-7.979446062661256178e+01
1.275000000000000000e+01,3.719786900190980017e-02,3.229408878261571525e-01,-1.881686698228390853e+01,2.674570784874494507e+02,3.174542627449240535e+07,-7.990398622992184130e+01
1.285000000000000142e+01,6.577249062445627951e-03,1.534749039464317899e-01,-2.397170054087627378e+01,2.576993634894582783e+02,7.135124489735394716e+07,-8.001134308097873316e+01
1.294999999999999929e+01,-6.484688405468331390e-03,1.315322160903206195e-01,-3.111101227299267791e+01,2.498048386518627524e+02,7.143498974497413635e+07,-8.011657412395507549e+01
1.305000000000000071e+01,-8.090953651004610669e-02,1.088688584532647302e-01,-3.430098699245459670e+01,2.494789271303869782e+02,-7.635495355735719204e+06,-8.021972145267116616e+01
1.315000000000000213e+01,-2.532365630784468719e-02,2.196066927133927538e-01,-2.873167935442733167e+01,2.491505623687423281e+02,-1.037506574048095047e+08,-8.032082632743383499e+01
1.325000000000000000e+01,4.545481092361316339e-02,1.625522114639900984e-01,-1.926730317189196029e+01,2.525141243573048087e+02,-8.553686624589699507e+07,-8.041992919154102992e+01
1.335000000000000142e+01,8.650189326614761420e-02,1.581821685133314448e-01,-1.668305023852267865e+01,2.596727516788978960e+02,3.385180757851049304e+07,-8.051706968745980930e+01
1.344999999999999929e+01,-1.042771735846155234e-01,1.251326568653965410e-01,-1.926411605689049011e+01,2.598123270921492463e+02,1.776950878884698451e+07,-8.061228667268376569e+01
1.355000000000000071e+01,9.239582987613373377e-02,1.116619830579323736e-01,-2.050358084239423206e+01,2.527691136225344053e+02,7.019786921227946877e+06,-8.070561823527654610e+01
1.365000000000000213e+01,-1.526484858888895457e-01,9.428565124084084537e-02,-1.847986070021739735e+01,2.464344215632876853e+02,-4.749418976476532221e+07,-8.079710170910763622e+01
1.375000000000000000e+01,9.123052553446835133e-02,1.104220663013943393e-01,-1.095202706086417876e+01,2.488492587780484939e+02,-1.030624830223000348e+08,-8.088677368878636287e+01
1.385000000000000142e+01,-1.237263644171939653e-01,1.891948771343783253e-01,8.242621660926041649e-01,2.544471536626047339e+02,-1.324633015168352425e+08,-8.097467004430023962e+01
1.394999999999999929e+01,8.204189340875753245e-02,1.190276957233707966e-01,1.595630693278060619e+01,2.457562966819180019e+02,-1.701775938169255257e+08,-8.106082593536343950e+01
