u_fraction,v_fraction,rotation_deg,best_height_A,best_LJ_kJmol,best_Coulomb_kJmol,best_total_kJmol
0.0,0.8,15.0,3.2999999999999994,-100.10229673965546,-0.08770752103238832,-100.19000426068784
0.0,0.8,30.0,3.2999999999999994,-100.40263538767788,-0.044880057957424224,-100.4475154456353
0.0,0.8,45.0,3.2999999999999994,-100.00879929434015,-0.057101545854503666,-100.06590084019466
0.0,0.8,60.0,3.2999999999999994,-99.88302925126787,-0.030079139714519254,-99.91310839098239
0.2,0.0,0.0,3.2999999999999994,-99.98062863714257,-0.06325374534491912,-100.0438823824875
0.2,0.0,15.0,3.2999999999999994,-99.9494332135759,-0.04374506105355058,-99.99317827462946
0.2,0.0,30.0,3.2999999999999994,-99.74446506441585,-0.03315536848363321,-99.77762043289948
0.2,0.0,45.0,3.2999999999999994,-99.85952132484245,-0.01318924064819127,-99.87271056549064
0.2,0.0,60.0,3.2999999999999994,-99.94483990664506,-0.050639939987019655,-99.99547984663208
0.2,0.2,0.0,3.2999999999999994,-99.97951967227904,-0.06354231446883984,-100.04306198674787
0.2,0.2,15.0,3.2999999999999994,-100.15089379749055,-0.07923725656035385,-100.2301310540509
0.2,0.2,30.0,3.2999999999999994,-100.40888528769685,-0.035611050446682224,-100.44449633814352
0.2,0.2,45.0,3.2999999999999994,-100.1041804562094,-0.0650225704022307,-100.16920302661164
0.2,0.2,60.0,3.2999999999999994,-99.96258452100308,-0.05718414604092947,-100.019768667044
0.2,0.4,0.0,3.2999999999999994,-99.87681302025867,-0.027836524100219417,-99.90464954435889
0.2,0.4,15.0,3.2999999999999994,-100.08843739837641,-0.07962243883958697,-100.168059837216
0.2,0.4,30.0,3.2999999999999994,-100.59681108579905,-0.04823748471319922,-100.64504857051224
0.2,0.4,45.0,3.2999999999999994,-100.1191266513351,-0.09140917373634094,-100.21053582507143
0.2,0.4,60.0,3.2999999999999994,-99.89204707384329,-0.03227613970915888,-99.92432321355244
0.2,0.6000000000000001,0.0,3.2999999999999994,-99.81896509865862,-0.005976804866374419,-99.824941903525
0.2,0.6000000000000001,15.0,3.2999999999999994,-99.8448583062116,-0.044345758402133395,-99.88920406461374
0.2,0.6000000000000001,30.0,3.2999999999999994,-100.08077045402851,-0.05403548291989457,-100.13480593694841
0.2,0.6000000000000001,45.0,3.2999999999999994,-99.87754173929672,-0.05568067568225166,-99.93322241497897
0.2,0.6000000000000001,60.0,3.2999999999999994,-99.8328221188615,-0.01090506300817351,-99.84372718186967
0.2,0.8,0.0,3.2999999999999994,-99.87813590004612,-0.02779234568318989,-99.90592824572931
0.2,0.8,15.0,3.2999999999999994,-99.76207520654879,-0.022573516089497314,-99.78464872263828
0.2,0.8,30.0,3.2999999999999994,-99.52120930672221,-0.04466699805610075,-99.56587630477831
0.2,0.8,45.0,3.2999999999999994,-99.72340166785352,-0.007927641624742687,-99.73132930947827
0.2,0.8,60.0,3.2999999999999994,-99.859970025472,-0.022067241855722397,-99.88203726732772
0.4,0.0,0.0,3.2999999999999994,-99.94663228978337,-0.052256084275903,-99.99888837405926
