z_nm,na_over_bulk,cl_over_bulk,na_block_sd,cl_block_sd,common_mode,charge_mode,debye_0p693nm_fit
2.650000000000000355e+00,9.752790478129684804e-01,7.798248814301348419e-01,2.129122792346243576e-01,2.456174638380944630e-01,-1.224480353784483389e-01,9.772708319141681921e-02,-1.028033532367777017e-02
2.750000000000000000e+00,8.992119097421467089e-01,7.163053108875800934e-01,1.930146920688185497e-01,1.726759688697363515e-01,-1.922413896851365989e-01,9.145329942728330774e-02,-8.899369237855203271e-03
2.850000000000000533e+00,9.223502026914461860e-01,6.622322405795589839e-01,1.417237305208894349e-01,1.675891600183099794e-01,-2.077087783644974150e-01,1.300589810559436010e-01,-7.703909487200476247e-03
2.950000000000000178e+00,8.656613849656626947e-01,7.221686558607389728e-01,1.936968823075677359e-01,1.575747682951720297e-01,-2.060849795867991663e-01,7.174636455246186095e-02,-6.669036849771314661e-03
3.049999999999999822e+00,8.286401162467836867e-01,6.925261896075467494e-01,3.646596773120594492e-01,1.110030721850747970e-01,-2.394168470728347820e-01,6.805696331961846868e-02,-5.773179523656348129e-03
3.150000000000000355e+00,8.208309423763950896e-01,6.508312920206389407e-01,3.232758674142023891e-01,1.023264457788351234e-01,-2.641688828014829848e-01,8.499982517787807446e-02,-4.997663465228535662e-03
3.250000000000000000e+00,8.500430372248855004e-01,6.798222754990357330e-01,3.917931152536909267e-01,1.611921103159866531e-01,-2.350673436380393833e-01,8.511038086292488369e-02,-4.326323130838930810e-03
3.350000000000000533e+00,7.661667252836753539e-01,7.384557252306247488e-01,3.759737809952308774e-01,1.598770280218837214e-01,-2.476887747428499487e-01,1.385550002652530255e-02,-3.745164507905902711e-03
3.450000000000000178e+00,7.071640782629620148e-01,6.729817063636835961e-01,3.330111751603638814e-01,1.661510012630180999e-01,-3.099271076866771946e-01,1.709118594963920934e-02,-3.242073411321500561e-03
3.549999999999999822e+00,6.030417599911148674e-01,7.257518111221139545e-01,2.953777020311253443e-01,1.785519335654186246e-01,-3.356032144433855890e-01,-6.135502556549954356e-02,-2.806562964646654949e-03
3.650000000000000355e+00,4.844580086259555607e-01,7.094647417522279564e-01,2.019554627441812189e-01,2.670078152908703095e-01,-4.030386248109082414e-01,-1.125033665631361979e-01,-2.429555002369781797e-03
3.750000000000000000e+00,6.044879033004459945e-01,7.641892948350444970e-01,2.036311648339985125e-01,3.614885181299349326e-01,-3.156614009322547543e-01,-7.985069576729925123e-02,-2.103190836583704662e-03
3.850000000000000533e+00,6.574167484219683999e-01,7.589774326366810486e-01,2.404871397250669396e-01,2.828258035130912229e-01,-2.918029094706752757e-01,-5.078034210735632437e-02,-1.820667443533927673e-03
3.950000000000000178e+00,5.998602447105861879e-01,7.436675874289884192e-01,2.017286013137714329e-01,2.195041135696585988e-01,-3.282360839302126965e-01,-7.190367135920111563e-02,-1.576095655365626147e-03
4.050000000000000711e+00,5.275530792440256134e-01,7.410616563298065840e-01,2.252166788777088535e-01,1.732241075664486818e-01,-3.656926322130839013e-01,-1.067542885428904853e-01,-1.364377401092418344e-03
4.150000000000000355e+00,4.083908705551338447e-01,7.456220357533746013e-01,2.001402216012252433e-01,1.595411801552569508e-01,-4.229935468457458048e-01,-1.686155825991204060e-01,-1.181099437889043076e-03
4.250000000000000000e+00,3.733942024693185369e-01,7.397586907802157219e-01,2.514741636911796419e-01,1.914336822901667734e-01,-4.434235533752328706e-01,-1.831822441554485925e-01,-1.022441357548784652e-03
4.349999999999999645e+00,3.592219980378727473e-01,7.055558451034553702e-01,2.258740553811847407e-01,2.135115826916319237e-01,-4.676110784293359135e-01,-1.731669235327912837e-01,-8.850959505108229588e-04
4.450000000000000178e+00,3.464959369157580293e-01,7.361755355188408512e-01,2.011888919940955089e-01,2.864129977736424859e-01,-4.586642637827005320e-01,-1.948397993015413832e-01,-7.662002674547299967e-04
4.550000000000000711e+00,3.548835681098791439e-01,7.580002084744879021e-01,1.764297469487007275e-01,2.486864319002729251e-01,-4.435581117078164493e-01,-2.015583201823043513e-01,-6.632759414489277760e-04
4.650000000000000355e+00,3.809141476778408753e-01,7.667952259342263321e-01,2.033594477230728226e-01,2.130027953574620825e-01,-4.261453131939664241e-01,-1.929405391281927562e-01,-5.741775266751064557e-04
4.750000000000000000e+00,4.913994965107453816e-01,6.993667587428987753e-01,2.807580175284650759e-01,1.594141865040580863e-01,-4.046168723731779493e-01,-1.039836311160767246e-01,-4.970477768552202620e-04
4.850000000000000533e+00,5.830849823223441808e-01,6.635352061291499570e-01,3.491428347722307923e-01,2.011316595530505680e-01,-3.766899057742529311e-01,-4.022511190340288811e-02,-4.302789311649796796e-04
4.950000000000000178e+00,6.640690076448918511e-01,6.980637931933079132e-01,4.968015118276538633e-01,2.540271567270848685e-01,-3.189335995809001179e-01,-1.699739277420803107e-02,-3.724792006431307408e-04
