time_ps,pyrene_height_nm,lateral_displacement_nm,lateral_x_nm,lateral_y_nm,path_length_nm,tilt_deg
206.000,0.32502274,0.26043626,0.01819447,-0.25979993,6.32679867,1.659418
207.000,0.32290905,0.25179678,-0.02600272,-0.25045055,6.37197391,2.150222
208.000,0.32975650,0.23586448,-0.00066785,-0.23586353,6.40120808,9.604760
209.000,0.32814440,0.16719772,-0.00275343,-0.16717504,6.46992822,4.170351
210.000,0.32909851,0.22416631,-0.04970097,-0.21858716,6.53955061,4.146096
211.000,0.37445028,0.24633540,-0.02526307,-0.24503654,6.57556146,3.870194
212.000,0.33981708,0.16479175,-0.05368381,-0.15580235,6.66921231,4.568318
213.000,0.33038192,0.16435183,-0.11620263,-0.11622595,6.74320484,0.547155
214.000,0.32694556,0.08934740,-0.08632575,-0.02303962,6.84106351,6.375629
215.000,0.33326406,0.16443108,-0.13479687,-0.09416679,6.92713630,1.905775
216.000,0.33760335,0.18798159,-0.15892820,-0.10039375,6.95205810,1.325889
217.000,0.34064327,0.17055200,-0.13350585,-0.10613281,6.97812020,6.379257
218.000,0.33654472,0.12444044,-0.08743580,-0.08854606,7.02743291,2.011686
219.000,0.34143769,0.19162802,-0.09597396,-0.16586229,7.10521914,2.642566
220.000,0.33054621,0.18219765,-0.06441690,-0.17043018,7.13710509,2.750792
221.000,0.31379328,0.13980563,-0.06476243,-0.12390094,7.18363562,4.708608
222.000,0.33033378,0.13397956,-0.10465814,-0.08364925,7.24030894,3.851072
223.000,0.32836899,0.13426172,-0.10633907,-0.08196470,7.24268871,5.880600
224.000,0.32643706,0.11747606,-0.11215017,-0.03497090,7.29004043,0.947500
225.000,0.32535563,0.25461015,-0.18531459,-0.17459906,7.44767626,5.310613
226.000,0.32691143,0.27033646,-0.19043124,-0.19187951,7.46569830,3.342929
227.000,0.35525280,0.28858517,-0.20133963,-0.20674562,7.48413723,5.145366
228.000,0.30870105,0.29608070,-0.22958328,-0.18696337,7.51861971,2.072166
229.000,0.31675136,0.27525412,-0.20440268,-0.18434851,7.54393571,1.441572
230.000,0.31859365,0.28030420,-0.19945927,-0.19694275,7.55746538,4.501760
231.000,0.34753031,0.37330027,-0.32001736,-0.19220296,7.67811661,1.496064
232.000,0.32870902,0.28999387,-0.24012753,-0.16258909,7.76331852,1.449019
233.000,0.30206299,0.27504515,-0.22000312,-0.16507109,7.78359542,0.709140
234.000,0.32919851,0.40914324,-0.32434872,-0.24939146,7.91775178,9.355531
235.000,0.33713429,0.45868684,-0.35299778,-0.29289279,7.96983954,6.490691
236.000,0.31653664,0.48106601,-0.41151235,-0.24916278,8.04288930,3.998460
237.000,0.34048190,0.40984951,-0.33768159,-0.23226659,8.11862874,2.091438
238.000,0.33138493,0.31866283,-0.27793241,-0.15588320,8.21560495,5.459841
239.000,0.34517604,0.39624016,-0.35352966,-0.17894983,8.29464300,2.927637
240.000,0.35663956,0.35864707,-0.31210788,-0.17668160,8.33612683,2.221142
241.000,0.33555388,0.33069024,-0.29119012,-0.15673016,8.36503380,3.809971
242.000,0.33093854,0.37005396,-0.33018686,-0.16708254,8.40538125,5.438731
243.000,0.32489139,0.40583520,-0.37236353,-0.16139272,8.44793998,1.771446
244.000,0.32520873,0.42045792,-0.38720123,-0.16389043,8.46298644,3.830423
245.000,0.35852979,0.36612239,-0.31634595,-0.18431181,8.53672586,1.663658
246.000,0.31604324,0.36335120,-0.33559712,-0.13927910,8.58570087,6.001883
247.000,0.34102591,0.43902494,-0.38920716,-0.20312726,8.66907127,3.048317
248.000,0.35028951,0.47027636,-0.44725072,-0.14535006,8.75096914,4.976302
249.000,0.33772843,0.40204405,-0.38478688,-0.11652670,8.81976244,8.601059
250.000,0.33922509,0.43120311,-0.42206551,-0.08829963,8.86652207,4.527748
251.000,0.32842634,0.36046440,-0.34431593,-0.10668236,8.94641526,9.848919
252.000,0.34647437,0.48312106,-0.42558596,-0.22865378,9.09298212,4.799345
253.000,0.34191298,0.51334117,-0.44635745,-0.25354326,9.12540035,3.311625
254.000,0.33807589,0.50127536,-0.40933104,-0.28935288,9.17691039,7.071547
255.000,0.32373070,0.52188069,-0.44734308,-0.26878173,9.22013177,7.793896
256.000,0.32672549,0.49889806,-0.41240335,-0.28075390,9.25706574,1.332367
257.000,0.36422692,0.51686973,-0.47059639,-0.21376005,9.34580471,6.108718
258.000,0.36162386,0.45349732,-0.38831652,-0.23424368,9.43059596,5.149134
259.000,0.34594390,0.41684039,-0.36496328,-0.20138947,9.47090443,2.593520
