stage,target_temperature_K,measured_temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,yb_energy_kJ_mol,carbon_plane_nm,lowest_water_O_height_nm,highest_water_O_height_nm
4,200.0,199.66199659177178,-91936.40946874884,17515.527365298658,3.309437586921961e-05,0.4988366073837801,0.277352098728913,3.2316133022695355
4,200.0,200.4346927776405,-91912.4369015547,17583.312829832088,1.5309147317708387,0.49883504778932075,0.29266086830043025,3.2626495584471122
4,200.0,197.96437148348343,-91811.10741023254,17366.60168315676,0.8000232454499725,0.5035555308726701,0.2708836930338375,3.2472087996680483
4,200.0,199.41192646451302,-92205.97521927708,17493.58973955108,1.723659719695329,0.49893010764331686,0.28540318130331793,3.2359705438064887
4,200.0,200.41026704444968,-91954.3997902238,17581.170060524837,0.376336560337313,0.502692457463519,0.2748503588289133,3.2000759600054405
4,200.0,200.16817742674021,-92378.49959856446,17559.9325321207,1.5889758170038757,0.49741017875736504,0.2794251872684741,3.1886211359901555
4,200.0,199.7861675645978,-91958.66282424226,17526.42037503329,3.1100157661004877,0.5013391956906206,0.2685765371175235,3.1260275718069215
4,200.0,203.9967740331531,-92118.63808441279,17895.79959633435,0.1265967101872773,0.49900925949076474,0.28154741617116347,3.2036306643974486
4,200.0,199.30697023627204,-92142.797970074,17484.382360483985,1.1756519726557673,0.49934605365869567,0.2690809412348175,3.2016032604842644
5,250.0,238.6331306922381,-87693.76078923116,20934.304986705916,1.4297053466827978,0.49923182907554964,0.2822996228597082,3.207182730107574
5,250.0,244.23237086135788,-86895.80448911665,21425.50334233299,1.9288362839296216,0.5021773402186843,0.2732902685149311,3.262340116737614
5,250.0,248.33016582355506,-86864.48009959282,21784.986073262997,0.6595135751409198,0.49933136400171035,0.2644493480153956,3.17738041801125
5,250.0,250.04190226238637,-86912.08919125458,21935.149684507604,0.2835351954465044,0.5016953747558722,0.26610573567410045,3.1805477761155423
5,250.0,246.62359273491086,-86174.51831132278,21635.27542153519,0.6456960910462961,0.4991029563053189,0.282370423288085,3.185194525343067
5,250.0,247.24222042690118,-86083.56593715679,21689.54508953887,0.347445126318471,0.4998679941174651,0.2691659730414223,3.2468929580646284
5,250.0,251.0769417008661,-86148.90941111709,22025.949445695616,0.31231138133669734,0.49867413127233756,0.2852731857987531,3.2716721724110376
5,250.0,249.74177950363278,-85927.78749739355,21908.821146860824,0.22203399772311408,0.5024377563354081,0.2738877323119615,3.3220820538226503
5,250.0,249.75869591777075,-85710.53002091625,21910.30515443269,0.2116873394291413,0.49771614100809475,0.2698019298030408,3.324630656872163
5,250.0,247.34880866539493,-86195.72877578333,21698.895638166177,0.06701412782320962,0.5003228784992829,0.27801586355420216,3.3218574810272585
5,250.0,246.94981007599884,-86429.0900693622,21663.893129774096,0.03268884178995773,0.49906049015356896,0.2670552971278916,3.2831992172617284
5,250.0,245.4038573300565,-86168.12012596068,21528.27304137853,0.07173716798011462,0.5003349113357308,0.27323981545762,3.3121443414139042
5,250.0,250.71321189816985,-86356.80101183639,21994.040923185312,0.016258212454326737,0.4983541823877095,0.2761873029965754,3.271968498572411
5,250.0,245.7926770332926,-85700.23532074969,21562.382597871263,0.7484191472409484,0.5014966636875346,0.2780071993327198,3.2276687736246554
5,250.0,251.2394864609277,-85716.86559055874,22040.20883026326,0.06290570320867055,0.5005843423201626,0.2753028061778753,3.2530853298784566
5,250.0,249.65591740280433,-85742.98147923581,21901.288817211844,0.12100194147851917,0.4987691427473724,0.2834543077188787,3.1985221132821646
5,250.0,250.08315037992335,-85875.24286697933,21938.76821253907,0.01904396733354473,0.5008451887076406,0.2638658928397032,3.2007821586910294
5,250.0,250.44642942218374,-86444.79941073433,21970.63719168667,0.13778447851233203,0.49745257093008005,0.2711336986405835,3.1499100983565773
5,250.0,250.0071514085599,-85493.81549050414,21932.101134750737,0.5557070137650892,0.5018829983330295,0.27346796787983263,3.15721262132626
5,250.0,249.27735504995044,-85421.40103318624,21868.07909596258,0.8226138837797401,0.49931645058062074,0.2790928479718748,3.1265461552963028
6,300.0,291.3482783571861,-81404.44079239736,25558.788500105817,0.0005515704921879648,0.5019986426491888,0.2676246933098857,3.1589558674401688
6,300.0,294.7061858226987,-80385.55167296273,25853.36393812761,1.7146733622778516,0.49844878309029017,0.27836509785640207,3.2001958677557285
6,300.0,297.47696606507594,-80181.12958752422,26096.43311497159,0.49947265220060577,0.501583426737797,0.2828310458840051,3.133256376562864
6,300.0,298.4864265114393,-79579.31930177694,26184.988936180845,0.02225428322760784,0.4992469539872624,0.24851953857160103,3.109312010955674
6,300.0,298.03398242416654,-79344.58185776195,26145.297873649317,0.13579137939324729,0.501178805984976,0.27318563553734343,3.153789974497135
